region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1,4,5,9,10,17,19,23,24,26,30,35,36,38,40,41,42,users,valid
,5,,25,,1493,11,434,864,928,1200,34,,,,,,,,3,,309,1,19,,,,3,,,,,11,,547,,,
,5,,26,,1509,8,305,720,901,1300,22,,,,,,,,3,,237,5,21,,,,5,,,,,12,,592,,1,0
,5,,27,,1539,11,348,814,939,1391,29,,,,,,,,2,,256,1,13,,,,3,,,,,7,,628,,2,0
,10,,5,,1516,6,446,943,1084,1350,25,,,,,,,,1,1,221,1,39,,,,1,,,,,14,,778,,"1,2",1
,10,,6,,1416,12,374,770,883,1250,22,,,,,,,,0,0,203,1,23,,,,0,,,,,8,,626,,,
,10,,7,,1521,11,288,702,819,1300,23,,,,,,,,3,3,245,0,31,,,,0,,,,,14,,498,,,
,10,,8,,1459,8,343,723,810,1250,23,,,,,,,,1,2,257,0,32,,,,1,,,,,13,,479,,1,
,49,,28,,553,3,176,365,406,500,13,,,,,,,,0,,246,3,4,,,,0,,,,,0,,140,,"1,2",1
,49,,29,,767,1,244,460,514,700,17,,,,,,,,1,,150,1,99,,,,0,,,,,1,,244,,1,
,49,,30,,713,3,209,447,510,650,12,,,,,,,,0,,205,1,13,,,,5,,,,,7,,267,,,
,50,,14,,1190,4,470,877,969,1100,16,,,,,,,,,,44,1,,,,,,,,,,1,,906,,,
,50,,15,,1177,4,393,809,939,1150,14,,,,,,,,,,31,3,,,,,,,,,,1,,890,,2,0
,50,,16,,1250,5,413,843,998,1150,12,,,,,,,,,,59,3,,,,,,,,,,1,,923,,2,
,82,,4,,471,5,93,247,276,500,10,,,,,,,,3,,151,12,12,,,,,,,,,9,,75,,2,0
,82,,5,,475,0,97,250,293,500,16,,,,,,,,3,,175,8,20,,,,,,,,,2,,69,,,
,82,,6,,382,2,76,168,198,400,6,,,,,,,,0,,137,3,8,,,,,,,,,3,,41,,"1,2",1
,82,,7,,171,2,33,73,104,200,4,,,,,,,,1,,74,0,6,,,,,,,,,2,,16,,"1,2",0
,84,,53,,254,2,72,163,182,250,5,,,,,,,,0,,24,0,3,,,,0,,,,,0,,150,,2,
,84,,54,,334,2,86,201,237,350,5,,,,,,,,10,,96,0,8,,,,3,,,,,2,,112,,"1,2",1
