region,district id,district name,უბანი,მომაგრებული უბანი,ერთიან სიაში ამომრჩეველთა რაოდენობა,სპეციალურ სიაში ამომრჩეველთა რაოდენობა,აქტივობა 12 საათი,აქტივობა 17 საათი,არჩევნებში მონაწილეთა რაოდენობა,num ballots,ბათილი ბიულეტენები,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1  “კახა კუკავა – თავისუფალი საქართველო”,4 “ეროვნულ-დემოკრატიული პარტია”,5 “ერთიანი ნაციონალური მოძრაობა-მეტი სარგებელი ხალხს”,9 “სამართლიანი საქართველოსთვის”,10 “გიორგი თარგამაძე–ქრისტიან-დემოკრატიული გაერთიანება”,17 “სახალხო მოძრაობა”,19 “თავისუფლება – ზვიად გამსახურდიას გზა”,23 “ჯონდი ბაღათურია – ქართული დასი”,24 “ახალი მემარჯვენეები”,26 “სახალხო პარტია”,30  “მერაბ კოსტავას საზოგადოება”,35 “მომავალი საქართველო”,36 “საქართველოს მშრომელთა საბჭო”,38 “შალვა ნათელაშვილი – საქართველოს ლეიბორისტული პარტია”,40 “საქართველოს სპორტსმენთა კავშირი”,41 “ბიძინა ივანიშვილი – ქართული ოცნება”,users,valid
,1,,1,,1481,8,444,829,948,,10,,,,,,,,8,2,262,0,20,0,2,1,9,0,1,1,0,10,0,620,,
,1,,2,,1299,12,296,731,855,,27,,,,,,,,0,0,239,1,12,0,0,2,4,0,0,0,0,7,1,562,1,0
,1,,3,,1470,10,375,895,1006,,29,,,,,,,,4,0,287,2,17,0,0,5,5,0,2,0,1,10,3,640,2,0
,1,,4,,1178,12,369,744,804,,19,,,,,,,,5,4,197,0,11,0,0,2,6,0,1,0,0,11,0,548,"1,2",1
,1,,5,,1500,9,421,956,1064,,26,,,,,,,,6,1,284,0,13,0,2,2,5,0,1,0,1,13,1,709,,
,1,,29,,1511,11,247,721,1098,,18,,,,,,,,6,2,227,2,15,1,1,0,20,0,2,1,1,15,1,786,,
,1,,30,,1223,8,226,711,896,,31,,,,,,,,2,0,179,0,1,1,0,0,8,0,0,1,0,6,2,665,1,
,1,,31,,1409,10,307,795,1022,,29,,,,,,,,7,3,201,0,7,0,1,2,9,1,1,1,0,12,3,745,"1,2",1
,1,,32,,1291,2,432,898,1035,,34,,,,,,,,6,1,333,1,7,0,0,3,1,0,0,0,1,7,0,641,1,
,5,,34,,1375,11,223,617,832,,29,,,,,,,,4,3,195,1,16,0,0,0,3,0,1,0,0,10,1,569,,
,5,,35,,1538,9,260,673,891,,29,,,,,,,,1,1,276,0,10,0,1,0,0,0,0,0,0,10,0,562,,
,9,,64,,1258,7,361,674,767,,23,,,,,,,,3,0,226,3,13,0,0,0,4,0,2,0,0,7,0,484,2,0
,9,,65,,1268,8,295,717,833,,19,,,,,,,,1,0,177,1,15,0,1,2,1,0,1,0,0,14,1,598,2,
,9,,66,,1364,6,406,819,928,,24,,,,,,,,1,2,203,1,20,0,0,2,2,0,3,0,2,14,1,652,2,0
,9,,67,,1346,6,331,710,851,,27,,,,,,,,1,0,224,1,14,0,0,2,0,0,0,1,1,11,0,569,,
,9,,68,,1480,9,400,782,898,,24,,,,,,,,2,1,204,0,16,0,0,1,5,0,0,0,1,19,0,625,"1,2",1
,9,,69,,1356,7,341,783,866,,20,,,,,,,,2,2,206,1,10,0,0,1,1,1,1,0,0,11,1,609,"1,2",0
,21,,5,,1385,6,234,417,492,,21,,,,,,,,4,0,267,0,4,0,1,0,7,0,1,0,0,7,0,180,,
,21,,6,,1363,7,188,445,547,,52,,,,,,,,1,3,348,1,10,0,1,0,1,0,0,0,0,6,0,124,,
,21,,7,,1057,6,249,473,521,,22,,,,,,,,1,0,230,1,4,0,0,0,0,0,0,0,0,1,0,262,1,
,25,,23,,458,7,46,65,66,,0,,,,,,,,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,26,2,
,25,,24,,72,12,6,13,13,,0,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,"1,2",1
,25,,25,,560,6,105,245,290,,7,,,,,,,,0,1,212,0,2,0,0,0,0,0,0,1,0,0,0,66,"1,2",1
